IP Address,Timestamp,Method,URL,Status,Size,User Agent
212.177.51.144,2024-08-01 22:09:43+00:00,DELETE,/signup,301,2918,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
64.27.44.10,2024-03-18 17:36:00+00:00,POST,/signup,201,2531,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
249.72.3.176,2024-08-16 20:28:15+00:00,DELETE,/dashboard,200,940,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
109.14.117.83,2024-03-05 12:02:54+00:00,GET,/contact.html,503,2784,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
124.80.187.85,2024-01-14 22:07:44+00:00,PUT,/about.html,400,2571,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
69.4.140.154,2024-04-09 02:26:18+00:00,DELETE,/index.html,404,3254,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
74.227.77.243,2024-08-10 02:46:35+00:00,DELETE,/products.html,200,483,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
82.224.67.188,2024-06-05 02:50:12+00:00,DELETE,/signup,301,1318,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
64.15.91.237,2024-03-05 17:02:05+00:00,GET,/about.html,201,4612,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
239.17.254.117,2024-01-04 14:16:28+00:00,DELETE,/login,200,1090,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
208.205.176.148,2024-08-12 23:01:10+00:00,PUT,/products.html,201,3601,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
125.117.171.218,2024-07-26 09:20:14+00:00,GET,/login,201,4509,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
23.201.200.220,2024-03-18 05:10:40+00:00,POST,/about.html,503,3717,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
186.113.190.129,2024-01-24 22:20:24+00:00,DELETE,/products.html,400,3140,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
234.193.239.66,2024-02-22 10:41:24+00:00,PUT,/dashboard,500,1306,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
188.38.148.230,2024-06-30 21:38:11+00:00,GET,/products.html,403,4151,Mozilla/5.0 (Linux; Android 10; Pixel 4)
219.81.202.249,2024-04-30 02:44:16+00:00,PUT,/signup,500,4059,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
66.110.247.74,2024-04-24 00:03:46+00:00,DELETE,/signup,503,1583,Mozilla/5.0 (Linux; Android 10; Pixel 4)
236.189.143.9,2024-02-27 10:52:50+00:00,GET,/products.html,200,4612,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
130.79.154.79,2024-05-17 21:22:16+00:00,GET,/signup,401,424,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
99.229.104.222,2024-01-26 10:13:34+00:00,GET,/,404,3625,Mozilla/5.0 (Linux; Android 10; Pixel 4)
30.217.142.79,2024-01-03 13:14:28+00:00,PUT,/dashboard,404,984,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
140.102.219.169,2024-07-08 05:16:12+00:00,POST,/about.html,301,3733,Mozilla/5.0 (Linux; Android 10; Pixel 4)
241.108.182.159,2024-06-04 02:31:06+00:00,GET,/login,301,3906,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
27.239.130.238,2024-03-31 09:13:07+00:00,DELETE,/signup,301,2567,Mozilla/5.0 (Linux; Android 10; Pixel 4)
94.79.47.203,2024-07-25 19:04:05+00:00,POST,/signup,302,4479,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
1.40.4.79,2024-03-30 15:57:19+00:00,PUT,/,400,1325,Mozilla/5.0 (Linux; Android 10; Pixel 4)
19.216.56.15,2024-04-03 19:34:45+00:00,POST,/products.html,503,1216,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
115.200.197.26,2024-08-07 19:32:19+00:00,POST,/dashboard,404,4814,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
199.187.14.22,2024-05-08 20:24:32+00:00,GET,/about.html,201,395,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
159.30.44.4,2024-02-03 21:49:02+00:00,DELETE,/products.html,302,297,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
51.212.192.163,2024-03-20 02:58:44+00:00,DELETE,/login,503,2582,Mozilla/5.0 (Linux; Android 10; Pixel 4)
244.244.202.141,2024-07-16 06:03:14+00:00,GET,/,403,3988,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
9.90.166.149,2024-08-10 08:30:44+00:00,DELETE,/signup,404,2163,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
23.92.129.136,2024-07-24 10:48:54+00:00,DELETE,/contact.html,404,1466,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
133.230.7.127,2024-05-12 20:53:17+00:00,DELETE,/products.html,500,3738,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
102.7.162.154,2024-05-12 12:13:00+00:00,GET,/dashboard,500,4739,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
216.212.3.137,2024-04-09 01:45:02+00:00,DELETE,/login,401,801,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
192.228.248.38,2024-01-27 05:04:39+00:00,PUT,/about.html,201,1309,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
162.255.74.224,2024-08-16 20:19:47+00:00,DELETE,/dashboard,500,3395,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
72.204.158.16,2024-03-08 22:12:51+00:00,GET,/login,401,2971,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
129.151.244.64,2024-06-24 13:10:59+00:00,DELETE,/index.html,400,4486,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
217.6.250.194,2024-07-21 05:51:18+00:00,GET,/dashboard,403,2872,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
1.207.175.30,2024-07-01 22:40:25+00:00,GET,/signup,503,4720,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
82.224.143.154,2024-03-16 09:51:43+00:00,DELETE,/about.html,503,670,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
45.154.130.11,2024-01-22 21:15:58+00:00,POST,/contact.html,302,4968,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
79.28.231.57,2024-04-30 10:51:04+00:00,DELETE,/index.html,503,3965,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
191.63.239.153,2024-04-03 20:50:04+00:00,PUT,/index.html,400,2471,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
140.4.247.5,2024-07-12 07:05:56+00:00,DELETE,/contact.html,400,797,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
53.111.209.125,2024-02-07 11:04:02+00:00,PUT,/signup,201,716,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
163.128.130.17,2024-06-07 18:34:33+00:00,PUT,/products.html,401,4493,Mozilla/5.0 (Linux; Android 10; Pixel 4)
44.0.100.240,2024-08-10 05:02:58+00:00,GET,/about.html,301,1048,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
244.33.184.91,2024-07-19 11:03:42+00:00,GET,/,200,2590,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
181.36.235.237,2024-04-12 06:34:52+00:00,POST,/,400,4588,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
248.166.113.223,2024-06-15 01:23:48+00:00,DELETE,/contact.html,401,1370,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
56.100.228.178,2024-07-01 06:41:25+00:00,DELETE,/contact.html,401,3300,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
220.236.146.193,2024-01-14 08:41:05+00:00,DELETE,/,201,3111,Mozilla/5.0 (Linux; Android 10; Pixel 4)
178.162.99.81,2024-05-08 05:52:19+00:00,GET,/products.html,301,1524,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
17.213.25.162,2024-07-23 21:33:32+00:00,DELETE,/signup,400,2825,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
152.202.208.116,2024-08-10 01:45:02+00:00,POST,/contact.html,302,3654,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
186.173.74.214,2024-03-02 06:28:46+00:00,GET,/login,201,2810,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
35.163.238.140,2024-05-13 22:33:59+00:00,POST,/contact.html,201,3872,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
128.215.20.40,2024-01-22 10:57:55+00:00,GET,/products.html,401,2829,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
172.223.149.113,2024-06-04 03:22:52+00:00,DELETE,/dashboard,404,4564,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)

